Time (s),CO (ppm),Humidity (%r.h.),Temperature (C),Flow rate (mL/min),Heater voltage (V),R1 (MOhm),R2 (MOhm),R3 (MOhm),R4 (MOhm),R5 (MOhm),R6 (MOhm),R7 (MOhm),R8 (MOhm),R9 (MOhm),R10 (MOhm),R11 (MOhm),R12 (MOhm),R13 (MOhm),R14 (MOhm)
4.0150,0.0000,55.8400,26.6200,240.5780,0.2000,33.3963,41.8611,48.6589,23.4223,47.2584,47.5609,47.2542,50.6634,40.4067,62.7987,61.6173,47.8274,46.0523,62.4461
4.3240,0.0000,55.8400,26.6200,240.5654,0.2000,31.3207,37.6686,40.2600,23.2018,43.2625,43.9737,46.7415,59.7614,39.6271,56.9725,60.3791,47.3060,45.5628,61.5540
4.6350,0.0000,55.8400,26.6200,240.5726,0.2000,28.0928,32.3820,43.0884,22.1194,43.9021,44.2341,45.2667,54.0730,40.0132,58.9374,55.3634,47.5890,46.0523,62.9436
4.9440,0.0000,55.8400,26.6200,240.5797,0.2000,25.0092,26.7632,41.4265,22.6808,42.4121,43.9737,44.3331,54.8097,39.0446,53.8273,59.4820,48.1165,44.6138,60.6866
5.2540,0.0000,55.8400,26.6200,240.5751,0.2000,22.0276,21.3459,36.9410,21.9218,41.1962,41.2963,43.6371,52.6564,40.1911,57.7289,54.6684,47.5890,45.7841,64.3090
5.5620,0.0000,55.8400,26.6200,240.4818,0.2000,18.3814,16.2418,34.5448,22.0573,41.5938,41.2963,42.3453,51.0146,35.8154,57.7289,57.9038,45.8065,43.2606,61.5540
5.8710,0.0000,55.8400,26.6200,240.3881,0.2000,15.1623,12.1369,29.0829,21.4542,40.0465,39.5062,43.0013,52.6564,39.6271,55.1962,54.2965,46.5671,44.1536,62.9436
6.1790,0.0000,55.8400,26.6200,240.2948,0.2000,12.2135,8.4215,25.6229,21.5841,40.5960,40.2907,40.9475,50.6634,39.6271,56.2354,55.6851,45.1125,41.9854,59.8429
6.4880,0.0000,55.8400,26.6200,240.3413,0.2000,9.6747,6.5643,21.3274,21.2679,38.6076,38.7509,40.7350,49.4150,38.8764,51.5578,52.9744,44.6472,41.9854,59.4670
6.7950,0.0000,55.8400,26.6200,240.4076,0.2000,7.7057,4.8843,17.9828,20.8932,39.4783,39.2974,40.7350,47.6519,37.8010,54.1325,52.0519,45.8065,41.9854,59.8429
7.1050,0.0000,55.8400,26.6200,240.4746,0.2000,6.0518,3.7396,15.0450,21.3956,39.6770,37.6695,39.8047,47.6519,36.7821,51.2803,56.0760,45.1125,40.9597,58.5835
7.4150,0.0000,55.8400,26.6200,240.4555,0.2000,4.6567,2.9561,12.1609,20.4130,38.2635,37.4791,39.4375,45.2505,36.6026,52.5235,51.4357,44.1912,40.7817,59.4670
7.7240,0.0000,55.8400,26.6200,240.3872,0.2000,3.8540,2.4089,10.0051,20.8932,38.7660,35.8181,38.8829,47.3955,35.8154,50.6801,55.3634,43.5041,39.6436,57.4449
8.0340,0.0000,55.8400,26.6200,240.3187,0.2000,3.1364,2.0147,8.0776,19.8925,37.5930,35.0542,37.6964,45.4846,35.8154,51.5578,50.8337,44.6472,40.1875,58.5835
8.3430,0.0000,55.8400,26.6200,240.2669,0.2000,2.5870,1.7334,6.6595,19.8317,36.4589,33.1642,37.8485,45.4846,34.8971,49.2128,54.6684,44.1912,39.4433,58.2230
8.6510,0.0000,55.8400,26.6200,240.2395,0.2000,2.1762,1.5244,5.5001,19.5626,36.9449,32.7708,36.2388,43.2879,35.0332,50.3585,54.6684,44.3973,38.9187,56.6871
8.9610,0.0000,55.8400,26.6200,240.2119,0.2000,1.8636,1.3622,4.5975,18.9798,35.8481,30.6315,36.0991,48.8133,34.1531,48.4112,50.5111,43.9463,39.0811,57.7960
9.2710,0.0000,55.8400,26.6200,240.1868,0.2000,1.6190,1.2393,3.8989,18.6332,35.2569,28.7664,34.6284,41.4854,35.6450,50.9512,50.5111,42.8763,38.7254,57.0291
9.5770,0.0000,55.8400,26.6200,240.1739,0.2000,1.4310,1.1366,3.3350,18.1015,34.2792,27.1938,33.3892,41.2509,33.7416,49.2128,53.3287,42.8763,38.3760,57.0291
9.8860,0.0000,55.8400,26.6200,240.1609,0.2000,1.2803,1.0563,2.8860,18.0087,34.2792,25.8558,32.1219,41.9221,33.3149,46.3331,53.3287,43.0705,38.0327,54.5271
10.1950,0.0000,55.8400,26.6200,240.1480,0.2000,1.1599,0.9900,2.5349,17.1284,32.5644,23.7612,29.9644,42.8230,33.1914,48.4112,48.8064,42.0413,37.2148,57.7960
10.5040,0.0000,55.8400,26.6200,240.2508,0.2007,1.0619,0.9342,2.2506,17.2127,32.0732,22.3353,29.1340,42.5736,32.9228,46.0632,52.6827,42.4548,37.3636,53.8426
10.8120,0.0000,55.8400,26.6200,240.3626,0.2000,0.9796,0.8876,2.0217,16.2159,30.8038,20.1425,27.6829,41.0575,32.7781,47.3498,48.0198,41.4176,37.5438,56.6871
11.1200,0.0000,55.8400,26.6200,240.4744,0.2000,0.9114,0.8477,1.8353,16.0255,29.8182,18.8157,25.8890,41.4854,32.0036,45.8407,52.0519,41.4176,36.7171,52.8174
11.4300,0.0000,55.8400,26.6200,240.3760,0.2000,0.8545,0.8130,1.6786,15.2495,27.7676,17.0250,24.6610,42.1236,32.3981,46.0632,48.0198,41.6357,37.3636,38.6814
11.7380,0.0000,55.8400,26.6200,240.1814,0.2000,0.8062,0.7831,1.5520,14.7286,27.0534,15.5903,22.8767,41.4854,32.5159,46.3331,50.8337,40.4633,35.9529,52.8174
12.0470,0.0000,55.8400,26.6200,239.9861,0.2000,0.7631,0.7570,1.4414,14.2996,24.8779,14.2337,21.4462,43.2879,31.7533,44.8858,49.9301,40.8469,36.4020,54.1517
12.3540,0.0000,55.7720,26.6200,239.8819,0.2000,0.7269,0.7335,1.3509,13.3501,22.9578,13.0119,19.8823,38.6611,31.2639,46.3331,50.8337,40.6368,35.9529,53.4763
12.6630,0.0000,55.6175,26.6200,239.8909,0.2000,0.6954,0.7123,1.2703,12.8231,21.5764,11.8767,18.6541,37.9220,31.1547,43.5244,47.7312,40.2571,35.9529,52.8174
12.9720,0.0000,55.4630,26.6200,239.8999,0.2000,0.6671,0.6941,1.2025,12.3998,20.3548,10.9124,17.0018,37.9220,31.1547,45.0994,50.2454,39.3537,35.0600,51.2656
13.2810,0.0000,55.3400,26.6200,239.9387,0.2000,0.6424,0.6772,1.1418,11.7049,18.4276,9.9144,15.9182,41.6828,30.7889,43.0884,46.4735,38.8050,35.9529,52.8174
13.5890,0.0000,55.3400,26.6200,240.0936,0.2000,0.6199,0.6625,1.0895,11.1197,17.6272,9.2016,14.5711,38.6611,30.5567,44.1742,50.2454,38.8050,34.7718,50.6587
13.8980,0.0000,55.3400,26.6200,240.2490,0.2000,0.6005,0.6486,1.0421,10.5374,16.0792,8.4526,13.5371,40.2271,30.1022,43.5244,46.2028,39.7169,34.9022,51.8869
14.2080,0.0000,55.3400,26.6200,240.4050,0.2000,0.5818,0.6362,0.9998,9.9318,14.9355,7.7611,12.4909,36.1896,30.1022,43.7254,46.2028,38.8050,34.3355,51.2656
14.5160,0.0000,55.3400,26.6200,240.4598,0.1990,0.5655,0.6245,0.9644,9.3874,13.6884,7.1870,11.5152,37.2100,29.5620,43.5244,45.7144,38.8050,34.0587,51.2656
14.8250,0.0000,55.3400,26.6200,240.5114,0.2000,0.5508,0.6138,0.9306,8.9201,12.7505,6.6432,10.5811,37.2100,29.5620,42.0161,45.4958,38.3020,34.0587,50.9328
15.1340,0.0000,55.3400,26.6200,240.5630,0.2000,0.5372,0.6039,0.9019,8.4812,11.8153,6.1569,9.6862,37.9220,30.1022,44.6321,48.8064,37.7813,33.1353,49.7481
15.4440,0.0000,55.3400,26.6200,240.4640,0.2000,0.5243,0.5952,0.8733,7.9375,10.7665,5.7019,9.0080,39.0413,29.1356,41.4265,45.0218,36.9821,34.0587,50.9328
15.7510,0.0000,55.3400,26.6200,240.3105,0.2000,0.5132,0.5863,0.8489,7.5358,10.0333,5.3444,8.2387,35.8615,29.1356,42.6608,48.5579,37.3037,32.9939,48.6163
16.0600,0.0000,55.3400,26.6200,240.1560,0.2001,0.5024,0.5789,0.8262,7.0867,9.1530,4.9485,7.6514,40.0063,28.8142,41.2095,44.7674,36.6659,33.5181,50.3336
16.3680,0.0000,55.3400,26.6200,240.0462,0.2000,0.4928,0.5712,0.8063,6.6832,8.5527,4.6504,6.9991,34.9112,28.6098,43.5244,48.5579,36.3548,32.3719,48.3661
16.6790,0.0000,55.3400,26.6200,239.9825,0.2000,0.4833,0.5642,0.7868,6.2659,7.8165,4.3421,6.5310,39.4289,28.1199,40.8174,44.3081,36.1874,32.9939,49.4864
16.9860,0.0000,55.3400,26.6200,239.9196,0.2000,0.4749,0.5577,0.7698,5.9333,7.2921,4.0892,5.9983,35.8615,28.3175,40.6416,47.7312,36.3548,32.3719,47.8244
17.2960,0.0000,55.3400,26.6200,239.9037,0.2000,0.4671,0.5519,0.7531,5.5716,6.6604,3.8378,5.5603,37.7252,28.3175,41.2095,45.2361,36.3548,31.7505,47.2945
17.6050,0.0000,55.3400,26.6200,240.0295,0.2000,0.4595,0.5456,0.7377,5.2413,6.2141,3.6327,5.1693,36.1896,28.1199,40.0548,43.8579,36.0489,32.1250,48.0691
17.9140,0.0000,55.3400,26.6200,240.1553,0.2000,0.4526,0.5398,0.7239,4.9703,5.7459,3.4284,4.7999,35.6850,27.4403,41.2095,47.2109,36.0489,31.1729,46.4977
18.2240,0.0000,55.3400,26.6200,240.2770,0.2000,0.4461,0.5349,0.7093,4.6738,5.3043,3.2380,4.4893,37.3695,27.6287,39.8853,44.1024,36.1874,32.2368,48.0691
18.5310,0.0000,55.3400,26.6200,240.1748,0.2000,0.4399,0.5300,0.6982,4.4428,4.9439,3.0820,4.1686,34.7436,27.2543,42.4311,45.9796,34.7193,30.9433,46.7759
18.8410,0.0000,55.3400,26.6200,240.0715,0.2000,0.4343,0.5256,0.6862,4.1767,4.5640,2.9181,3.9045,36.3407,27.3555,39.3194,44.3081,34.4395,31.0473,45.9961
19.1500,0.0000,55.3400,26.6200,239.9686,0.2000,0.4289,0.5205,0.6747,3.9481,4.2630,2.7880,3.6610,37.0203,27.1706,40.8174,43.2189,35.4519,30.8195,47.0102
19.4590,0.0000,55.3400,26.6200,240.0301,0.2000,0.4237,0.5165,0.6646,3.7588,3.9686,2.6529,3.4409,35.0520,26.7107,38.8010,42.5596,34.8738,30.8195,46.4977
19.7670,0.0000,55.3400,26.6200,240.1376,0.2000,0.4188,0.3476,0.2127,0.4444,0.3298,0.2810,0.2205,20.3443,4.1537,3.4348,0.6832,0.3435,0.2558,0.2088
20.0770,0.0000,55.3400,26.6200,240.2458,0.8540,0.0608,0.1533,0.1074,0.1110,0.1121,0.1394,0.1136,0.1418,0.1162,0.1482,0.1288,0.1280,0.1130,0.1166
20.3860,0.0000,55.3400,26.6200,240.2498,0.8871,0.0668,0.1468,0.1044,0.1024,0.1066,0.1308,0.1145,0.1098,0.1018,0.1230,0.1159,0.1177,0.1063,0.1108
20.6950,0.0000,55.3400,26.6200,240.1667,0.8945,0.0732,0.1420,0.1059,0.1004,0.1077,0.1270,0.1167,0.1067,0.0999,0.1201,0.1136,0.1158,0.1058,0.1098
21.0050,0.0000,55.3400,26.6200,240.0833,0.8977,0.0775,0.1397,0.1088,0.1004,0.1100,0.1255,0.1189,0.1062,0.0995,0.1198,0.1128,0.1152,0.1060,0.1096
21.3120,0.0000,55.3400,26.6200,240.0243,0.8980,0.0804,0.1392,0.1121,0.1012,0.1124,0.1252,0.1212,0.1065,0.0995,0.1199,0.1123,0.1149,0.1064,0.1094
21.6220,0.0000,55.3400,26.6200,240.0187,0.8981,0.0829,0.1399,0.1152,0.1023,0.1146,0.1257,0.1234,0.1065,0.0994,0.1201,0.1119,0.1147,0.1066,0.1094
21.9290,0.0000,55.3400,26.6200,240.0132,0.8990,0.0849,0.1407,0.1179,0.1034,0.1170,0.1264,0.1255,0.1067,0.0994,0.1201,0.1115,0.1147,0.1066,0.1092
22.2390,0.0000,55.3400,26.6200,240.0094,0.8986,0.0863,0.1420,0.1206,0.1045,0.1188,0.1272,0.1273,0.1070,0.0994,0.1201,0.1113,0.1145,0.1068,0.1092
22.5480,0.0000,55.3400,26.6200,240.0304,0.8996,0.0878,0.1433,0.1228,0.1056,0.1204,0.1281,0.1292,0.1070,0.0994,0.1202,0.1110,0.1144,0.1070,0.1090
22.8570,0.0000,55.3400,26.6200,240.0515,0.8990,0.0891,0.1444,0.1249,0.1067,0.1221,0.1289,0.1306,0.1072,0.0992,0.1202,0.1109,0.1143,0.1070,0.1090
23.1670,0.0000,55.3400,26.6200,240.0725,0.8990,0.0901,0.1456,0.1265,0.1075,0.1236,0.1297,0.1320,0.1072,0.0991,0.1201,0.1108,0.1143,0.1070,0.1088
23.4740,0.0000,55.3400,26.6200,240.1387,0.8999,0.0912,0.1468,0.1281,0.1083,0.1250,0.1304,0.1331,0.1073,0.0991,0.1201,0.1105,0.1141,0.1070,0.1088
23.7840,0.0000,55.3400,26.6200,240.2147,0.8993,0.0921,0.1478,0.1292,0.1092,0.1259,0.1310,0.1340,0.1072,0.0991,0.1201,0.1102,0.1139,0.1070,0.1090
24.0940,0.0000,55.3400,26.6200,240.2906,0.8990,0.0929,0.1488,0.1304,0.1097,0.1269,0.1317,0.1348,0.1073,0.0991,0.1201,0.1102,0.1139,0.1071,0.1090
24.4030,0.0000,55.3400,26.6200,240.1948,0.8997,0.0936,0.1495,0.1314,0.1104,0.1279,0.1323,0.1358,0.1075,0.0990,0.1201,0.1101,0.1139,0.1071,0.1088
24.7120,0.0000,55.3400,26.6200,239.9841,0.8990,0.0944,0.1502,0.0760,0.0650,0.1073,0.1241,0.1845,0.1076,0.0989,0.0714,0.0589,0.1276,0.2357,0.2560
25.0210,0.0000,55.3400,26.6200,239.7734,0.8590,0.2622,0.7408,1.3448,0.9631,1.4419,1.6601,2.2732,1.6923,1.8209,2.3893,4.2771,6.3612,7.9387,10.1864
25.3300,0.0000,55.3400,26.6200,239.6456,0.2110,2.4077,5.9226,10.8919,6.8334,10.3816,11.5583,14.5956,23.3170,17.2786,26.6020,34.2448,36.8090,32.8770,42.9968
25.6400,0.0000,55.3400,26.6200,239.6639,0.2070,11.5040,24.1428,38.8010,18.5352,35.2569,39.1250,43.6371,53.7445,32.1417,56.2354,54.6684,60.0479,47.5846,60.6866
25.9490,0.0000,55.3400,26.6200,239.6821,0.2046,30.2070,50.3972,67.6646,26.5286,59.5419,67.5130,66.4983,59.2824,37.2693,66.6330,66.2834,66.9695,50.0533,62.9436
26.2590,0.0000,55.3400,26.6200,239.7218,0.2022,50.3972,71.3877,78.5920,28.7477,67.9380,73.5077,77.6744,58.8889,39.6271,66.6330,62.9890,61.7414,50.6424,64.3090
26.5680,0.0000,55.3400,26.6200,239.9010,0.2030,61.4100,74.3444,80.6932,29.0823,72.4181,79.9474,81.3453,54.8097,39.2482,66.6330,59.9272,63.5316,51.5801,65.8253
26.8770,0.0000,55.3400,26.6200,240.0802,0.2012,62.6869,74.3444,80.6932,29.5550,78.1461,71.6582,73.7472,55.6363,41.2168,64.1416,65.8307,57.2603,49.7900,62.9436
27.1860,0.0000,55.3400,26.6200,240.2594,0.2010,59.6617,76.3332,71.4844,27.8649,63.0524,68.1197,68.0064,56.7773,40.5881,64.1416,59.4820,55.0929,48.9146,62.9436
27.4940,0.0000,55.3400,26.6200,240.0920,0.2010,54.4606,64.5303,69.8255,27.8649,63.0524,64.3583,63.5872,55.6363,39.8017,59.3023,65.2954,52.4422,49.2201,62.4461
27.8040,0.0000,55.3400,26.6200,239.8830,0.2007,49.2563,58.8598,61.4312,25.7715,55.4192,57.6490,60.9168,53.3555,40.1911,62.7987,59.1160,50.9361,50.0533,66.8445
28.1110,0.0000,55.3400,26.6200,239.6761,0.2002,45.8525,54.4606,55.9066,25.5887,53.6815,55.2549,54.7053,57.5888,39.4196,58.5052,64.3359,50.6129,47.5846,62.9436
28.4210,0.0000,55.3400,26.6200,239.7171,0.2001,39.1977,50.0809,51.8946,24.1383,49.1574,50.4951,51.1767,55.6363,40.0132,60.5772,57.5565,49.2068,49.2201,66.2847
28.7290,0.0000,55.3400,26.6200,239.8886,0.2002,35.9202,45.3727,51.8946,24.0501,49.4117,47.5609,49.1134,51.3110,39.8017,58.9374,62.0947,48.3602,46.2782,62.0375
29.0380,0.0000,55.3400,26.6200,240.0607,0.2000,33.3963,42.6882,46.0632,23.1202,44.3527,45.4440,47.2542,53.7445,40.0132,57.7289,56.8068,47.3060,47.8255,64.3090
29.3460,0.0000,55.3400,26.6200,240.1444,0.2000,30.4236,37.0193,46.8361,23.0525,44.8125,45.4440,45.9702,51.3110,39.6271,58.5052,59.9272,47.5890,44.6138,61.5540
29.6550,0.0000,55.3400,26.6200,240.1042,0.2000,28.0928,32.1377,42.2414,22.3331,43.7002,43.9737,45.9702,55.6363,39.6271,55.9066,55.6851,48.1165,45.7841,63.3641
29.9650,0.0000,55.3400,26.6200,240.0639,0.2000,24.7804,26.4269,41.6090,22.3967,44.1468,42.1526,43.4365,51.6712,39.2482,60.5772,58.6825,46.2959,43.9065,61.1567
30.2740,0.0000,55.3400,26.6200,240.0262,0.2000,21.6816,21.2859,36.4816,21.8486,40.2166,40.6946,43.4365,54.0730,39.2482,54.1325,54.6684,46.0722,43.7026,63.3641
30.5820,0.0000,55.3400,26.6200,239.9997,0.2000,18.4192,16.1764,32.8215,21.5841,40.5960,41.1064,42.5746,47.6519,39.6271,56.9725,53.6275,46.2959,43.2606,62.0375
30.8910,0.0000,55.3400,26.6200,239.9731,0.2000,14.2614,12.0441,28.9918,22.0573,40.4227,41.5264,41.7456,50.0315,38.6764,52.5235,58.3260,46.5671,42.1739,59.4670
31.2000,0.0000,55.3400,26.6200,239.9465,0.2000,12.0612,8.8304,25.0079,21.1988,39.8441,40.4733,41.9312,50.6634,38.8764,53.8273,52.9744,46.7956,41.9854,61.1567
31.5090,0.0000,55.3400,26.6200,239.9261,0.2002,9.5015,6.4893,21.7164,21.4542,40.8058,38.3838,40.1787,51.9752,38.6764,53.4654,55.6851,44.6472,41.5766,59.0220
31.8190,0.0000,55.3400,26.6200,239.9059,0.2000,7.5416,4.8429,17.6681,20.7052,38.2635,38.0233,39.6036,47.6519,37.9601,53.8273,52.0519,44.1912,40.9597,62.0375
32.1270,0.0000,55.3400,26.6200,239.8859,0.2000,5.9817,3.7128,14.6795,21.1416,38.9578,38.5498,39.4375,47.9632,36.4543,52.1786,56.4058,44.3973,40.5701,58.2230
32.4360,0.0000,55.3400,26.6200,239.8438,0.2000,4.7137,2.9373,11.9512,20.3492,37.2662,36.1388,38.5320,48.2257,36.6026,50.9512,51.4357,43.5041,40.1875,60.3002
32.7440,0.0000,55.3400,26.6200,239.7927,0.1995,3.7824,2.3987,9.8344,20.5311,39.1190,35.3616,37.8485,45.4846,35.6450,53.4654,54.6684,43.9463,39.6436,56.6871
33.0540,0.0000,55.3400,26.6200,239.7412,0.2000,3.0790,2.0118,7.9693,19.8317,37.2662,34.5893,38.0325,49.4150,35.9587,49.7792,51.4357,43.7442,39.6436,58.5835
33.3640,0.0000,55.3400,26.6200,239.7560,0.1991,2.5530,1.7301,6.5626,19.4550,36.1510,33.3141,37.1882,44.2479,35.0332,50.6801,54.6684,43.3060,39.4433,57.0291
33.6720,0.0000,55.3400,26.6200,239.8446,0.2000,2.1432,1.5216,5.4219,19.3485,36.0127,31.4852,36.2388,44.2479,34.4416,47.8748,53.9904,43.3060,39.4433,57.4449
33.9800,0.0000,55.3400,26.6200,239.9333,0.2000,1.8368,1.3622,4.5631,18.9798,36.6290,30.6315,34.4750,43.5025,34.1531,51.8946,53.3287,42.4548,38.3760,55.2289
34.2910,0.0000,55.3400,26.6200,239.9847,0.2000,1.5995,1.2360,3.8360,18.3855,34.2792,28.3570,33.9237,45.7687,33.7416,46.8361,49.6703,42.0413,39.0811,57.0291
34.5990,0.0000,55.3400,26.6200,239.9127,0.2000,1.4175,1.1366,3.2939,18.2468,35.1252,27.1938,32.1219,41.2509,34.0235,48.4112,53.6275,42.2283,37.3636,54.8439
34.9080,0.0000,55.3400,26.6200,239.8405,0.2000,1.2661,1.0558,2.8576,17.7848,33.7370,25.3586,32.0113,46.2986,32.7781,46.5604,48.5579,42.6454,37.8786,55.5538
35.2180,0.0000,55.3400,26.6200,239.7680,0.2000,1.1467,0.9900,2.5063,17.3837,33.0704,24.0516,30.0617,40.0063,33.0444,47.3498,52.0519,42.8763,36.8913,54.5271
35.5270,0.0000,55.3400,26.6200,239.8962,0.2000,1.0512,0.9346,2.2285,16.6820,30.9059,21.7152,28.4343,45.2505,32.2578,45.5763,48.2630,41.0236,36.7171,53.8426
35.8340,0.0000,55.3400,26.6200,240.0236,0.2000,0.9711,0.8876,2.0026,16.0998,30.8038,20.2476,27.1441,41.2509,32.3981,45.5763,48.5579,41.4176,37.2148,54.8439
36.1430,0.0000,55.3400,26.6200,240.1519,0.2000,0.9045,0.8477,1.8230,15.9519,29.3109,18.5930,25.3306,40.2271,31.7533,46.8361,51.7140,40.6368,36.2605,53.1748
36.4530,0.0000,55.3400,26.6200,240.1999,0.2000,0.8484,0.8130,1.6660,15.0501,27.4874,17.0596,24.2289,43.0331,31.8893,45.0994,48.2630,41.2376,36.7171,54.5271
36.7620,0.0000,55.3400,26.6200,240.2222,0.2009,0.8001,0.7831,1.5405,14.6658,26.0463,15.5263,22.2591,39.2166,31.1547,46.3331,51.4357,40.0868,35.7873,52.8174
37.0720,0.0000,55.3400,26.6200,240.2445,0.1991,0.7583,0.7576,1.4328,13.8937,23.8809,14.0490,20.7933,40.0063,31.8893,44.6321,48.5579,39.5180,35.4875,51.2656
37.3810,0.0000,55.3400,26.6200,240.1927,0.2000,0.7230,0.7335,1.3405,13.1715,22.5829,11.7241,19.3162,43.0331,31.1547,45.8407,46.7015,40.4633,35.3528,51.2656
37.6910,0.0000,55.3400,26.6200,240.0743,0.2000,0.6910,0.7136,1.2624,12.7967,21.4136,11.8208,17.9901,38.8330,31.2639,44.1742,49.9301,38.9970,35.0600,50.9328
38.0000,0.0000,55.3400,26.6200,239.9563,0.2000,0.6634,0.6944,1.1946,11.9786,19.4335,10.7994,16.6109,40.2271,30.4522,44.8858,46.4735,39.1583,35.6504,52.8174
38.3070,0.0000,55.3400,26.6200,239.8666,0.2005,0.6386,0.6785,1.1367,11.6456,18.6348,9.8593,15.4513,38.6611,30.1022,44.4228,50.2454,38.6464,34.6166,51.2656
38.6170,0.0000,55.3400,26.6200,239.8443,0.2000,0.6170,0.6631,1.0833,10.8648,16.7497,9.0821,14.2778,38.8330,30.3278,44.4228,46.4735,39.8842,35.0600,52.8174
38.9250,0.0000,55.3400,26.6200,239.8221,0.2000,0.5971,0.6492,1.0389,10.5038,15.9165,8.3298,13.0821,39.0413,29.4445,44.4228,49.1079,38.3020,34.0587,50.3336
39.2340,0.0000,55.3400,26.6200,239.7991,0.2000,0.5791,0.6362,0.9963,9.7379,14.3124,7.6984,12.1748,39.8241,29.7798,43.0884,45.4958,37.6308,34.9022,51.8869
39.5420,0.0000,55.3400,26.6200,239.7631,0.2000,0.5628,0.6251,0.9606,9.3603,13.3164,7.1715,11.1258,37.9220,29.2315,43.0884,49.3620,38.6464,33.5181,49.7481
39.8510,0.0000,55.3400,26.6200,239.7269,0.2000,0.1096,0.2010,0.1622,0.3552,0.3131,0.2548,0.2236,1.2548,0.4196,0.5594,0.2337,0.1959,0.1655,0.1520
40.1600,0.0000,55.3400,26.6200,239.6908,0.8693,0.0627,0.1540,0.1112,0.1191,0.1246,0.1451,0.1245,0.1269,0.1091,0.1376,0.1229,0.1246,0.1114,0.1142
40.4690,0.0000,55.3400,26.6200,239.7234,0.8900,0.0683,0.1470,0.1075,0.1056,0.1125,0.1333,0.1193,0.1095,0.1012,0.1227,0.1154,0.1177,0.1071,0.1104
40.7790,0.0000,55.3400,26.6200,239.7721,0.8960,0.0741,0.1426,0.1084,0.1026,0.1114,0.1289,0.1198,0.1071,0.1000,0.1206,0.1135,0.1160,0.1067,0.1099
41.0870,0.0000,55.3400,26.6200,239.8204,0.8980,0.0779,0.1407,0.1110,0.1023,0.1129,0.1273,0.1215,0.1067,0.0998,0.1204,0.1129,0.1155,0.1067,0.1098
41.3960,0.0000,55.3400,26.6200,239.8063,0.8980,0.0808,0.1403,0.1138,0.1030,0.1148,0.1270,0.1235,0.1067,0.0996,0.1204,0.1121,0.1152,0.1068,0.1096
41.7040,0.0000,55.3400,26.6200,239.7462,0.8990,0.0833,0.1409,0.1168,0.1038,0.1167,0.1276,0.1255,0.1070,0.0996,0.1204,0.1120,0.1149,0.1070,0.1094
